N,Neuron class,Neuron,h / m,Neurotransmitter 1,Neurotransmitter 2,Soma Location,Notes ,WA - Lineage,WA - Description
31,,AS3,,Acetylcholine (ACh),,VNC,,P3.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
32,,AS4,,Acetylcholine (ACh),,VNC,,P4.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
33,,AS5,,Acetylcholine (ACh),,VNC,,P5.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
34,,AS6,,Acetylcholine (ACh),,VNC,,P6.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
35,,AS7,,Acetylcholine (ACh),,VNC,,P7.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
36,,AS8,,Acetylcholine (ACh),,VNC,,P8.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
37,,AS9,,Acetylcholine (ACh),,VNC,,P9.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
38,,AS10,,Acetylcholine (ACh),,VNC,,P10.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
39,,AS11,,Acetylcholine (ACh),Glutamate (Glu) - adult male-specific,Tail - PAG,*express eat-4/VGluT in adult male only,P11.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
40,ASE,ASEL,,Glutamate (Glu),,Head,,AB alppppppaa,"Amphid neurons, single ciliated endings"
41,,ASER,,Glutamate (Glu),,Head,,AB praaapppaa,"Amphid neurons, single ciliated endings"
42,ASG,ASGL,,Glutamate (Glu),Serotonin / 5HT (conditional),Head,,AB plaapapap,"Amphid neurons, single ciliated endings"
43,,ASGR,,Glutamate (Glu),Serotonin / 5HT (conditional),Head,,AB praapapap,"Amphid neurons, single ciliated endings"
44,ASH,ASHL,,Glutamate (Glu),,Head,,AB plpaappaa,"Amphid neurons, single ciliated endings"
45,,ASHR,,Glutamate (Glu),,Head,,AB prpaappaa,"Amphid neurons, single ciliated endings"
46,ASI,ASIL,,Unknown,,Head,,AB plaapapppa,"Amphid neurons, single ciliated endings"
47,,ASIR,,Unknown,,Head,,AB praapapppa,"Amphid neurons, single ciliated endings"
48,ASJ,ASJL,,Acetylcholine (ACh),,Head,,AB alpppppppa,"Amphid neurons, single ciliated endings"
49,,ASJR,,Acetylcholine (ACh),,Head,,AB praaappppa,"Amphid neurons, single ciliated endings"
50,ASK,ASKL,,Glutamate (Glu),,Head,,AB alpppapppa,"Amphid neurons, single ciliated endings"
51,,ASKR,,Glutamate (Glu),,Head,,AB praaaapppa,"Amphid neurons, single ciliated endings"
52,AUA,AUAL,,Glutamate (Glu),,Head,,AB alpppppppp,"Neuron, process runs with amphid processes but lacks ciliated ending"
53,,AUAR,,Glutamate (Glu),,Head,,AB praaappppp,"Neuron, process runs with amphid processes but lacks ciliated ending"
54,AVA,AVAL,,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic,AB alppaaapa,Ventral cord interneuron
55,,AVAR,,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic,AB alaappapa,Ventral cord interneuron
56,AVB,AVBL,,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic,AB plpaapaap,Ventral cord interneuron
57,,AVBR,,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic,AB prpaapaap,Ventral cord interneuron
58,AVD,AVDL,,Acetylcholine (ACh),,Head,,AB alaaapalr,Ventral cord interneuron
59,,AVDR,,Acetylcholine (ACh),,Head,,AB alaaapprl,Ventral cord interneuron
60,AVE,AVEL,,Acetylcholine (ACh),,Head,,AB alpppaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord"
61,,AVER,,Acetylcholine (ACh),,Head,,AB praaaaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord"
62,AVF,AVFL,,Unknown,,Head - RVG,possible 'GABA clearance' neuron,P1.aaaa/ W.aaa,Interneuron
63,,AVFR,,Unknown,,Head - RVG,possible 'GABA clearance' neuron,P1.aaaa/ W.aaa,Interneuron
64,AVG,AVG,,Acetylcholine (ACh),,Head,,AB prpapppap,Ventral cord interneuron
65,AVH,AVHL,,Unknown,,Head,,AB alapaaaaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring"
66,,AVHR,,Unknown,,Head,,AB alappapaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring"
67,AVJ,AVJL,,Unknown,,Head - Lateral G,possibly GABAergic,AB alapapppa,"Neuron, synapses like AVHL/R"
68,,AVJR,,Unknown,,Head - Lateral G,possibly GABAergic,AB alapppppa,"Neuron, synapses like AVHL/R"
69,AVK,AVKL,,Unknown,,Head,,AB plpapapap,Ring and ventral cord interneuron
70,,AVKR,,Unknown,,Head,,AB prpapapap,Ring and ventral cord interneuron
71,AVL,AVL,,GABA,,Head,,AB prpappaap,Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses
72,AVM,AVM,,Glutamate (Glu),,Body wall,, QR.paa,"Anterior ventral microtubule cell, touch receptor"
73,AWA,AWAL,,Unknown,,Head,,AB plaapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
74,,AWAR,,Unknown,,Head,,AB praapapaa,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
75,AWB,AWBL,,Acetylcholine (ACh),,Head,,AB alpppppap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
76,,AWBR,,Acetylcholine (ACh),,Head,,AB praaappap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
77,AWC,AWCL,,Glutamate (Glu),,Head,,AB plpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
78,,AWCR,,Glutamate (Glu),,Head,,AB prpaaaaap,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath"
79,BAG,BAGL,,Glutamate (Glu),,Head,,AB alppappap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
80,,BAGR,,Glutamate (Glu),,Head,,AB arappppap,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
81,BDU,BDUL,,Unknown,,Body wall,,AB arppaappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles"
82,,BDUR,,Unknown,,Body wall,,AB arpppappp,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles"
83,CA,CA1,m,Acetylcholine (ACh),Serotonin / 5HT? (weak/variable),VNC,,P3.aapa,"Male specific cells, ventral cord, not constructed"
84,,CA2,m,Acetylcholine (ACh),Serotonin / 5HT? (weak/variable),VNC,,P4.aapa,"Male specific cells, ventral cord, not constructed"
85,,CA3,m,Acetylcholine (ACh),Serotonin / 5HT? (weak/variable),VNC,,P5.aapa,"Male specific cells, ventral cord, not constructed"
86,,CA4,m,Acetylcholine (ACh),Serotonin / 5HT? (weak/variable),VNC,,P6.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
87,,CA5,m,Acetylcholine (ACh),,VNC,,P7.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
88,,CA6,m,Acetylcholine (ACh),,VNC,,P8.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
89,,CA7,m,"ACh (unc-17, no cho-1)",,VNC,"P16: no cho-1 expression, lower unc-17 expression than CA1-6",P9.aapa,"Male specific neuron, ventral cord, innervates dorsal muscles"
90,,CA8,m,"ACh (unc-17, no cho-1)",,VNC,"P16: no cho-1 expression, lower unc-17 expression than CA1-6",P10.aapa,"Male specific cell, ventral cord, neuron-like but lacks synapses"
91,,CA9,m,"ACh (unc-17, no cho-1)",,VNC,"P16: no cho-1 expression, lower unc-17 expression than CA1-6",P11.aapa,"Male specific cell, ventral cord, neuron-like but lacks synapses"
92,CAN,CANL,,unknown monamine* ,,Body wall,WA: unknown function; P16: * expresses cat-1 / VMAT,AB alapaaapa,"Process runs along excretory canal, no synapses, essential for survival"
93,,CANR,,unknown monamine* ,,Body wall,WA: unknown function; P16: * expresses cat-1 / VMAT,AB alappappa,"Process runs along excretory canal, no synapses, essential for survival"
94,CEM,CEMDL,m,Acetylcholine (ACh),,Head,,AB plaaaaaap,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
95,,CEMDR,m,Acetylcholine (ACh),,Head,,AB arpapaaap,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
96,,CEMVL,m,Acetylcholine (ACh),,Head,,AB plpaapapp,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
97,,CEMVR,m,Acetylcholine (ACh),,Head,,AB prpaapapp,"Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite"
98,CEP,CEPDL,,Dopamine (DA),,Head,,AB plaaaaappa,"Cephalic neurons, contain dopamine"
99,,CEPDR,,Dopamine (DA),,Head,,AB arpapaappa,"Cephalic neurons, contain dopamine"
100,,CEPVL,,Dopamine (DA),,Head,,AB plpaappppa,"Cephalic neurons, contain dopamine"
101,,CEPVR,,Dopamine (DA),,Head,,AB prpaappppa,"Cephalic neurons, contain dopamine"
102,CP0,CP0,m,Unknown,,VNC,possibly Glutamatergic,P2.aap,Male specific neuron in ventral cord
103,CP,CP1,m,Serotonin / 5HT,,VNC,,P3.aapp,Male specific neuron in ventral cord
104,,CP2,m,Serotonin / 5HT,,VNC,,P4.aapp,Male specific neuron in ventral cord
105,,CP3,m,Serotonin / 5HT,,VNC,,P5.aapp,Male specific neuron in ventral cord
106,,CP4,m,Serotonin / 5HT,,VNC,,P6.aapp,Male specific motor neuron in ventral cord
107,,CP5,m,Serotonin / 5HT,,VNC,possibly Glutamatergic,P7.aapp,Male specific motor neuron in ventral cord
108,,CP6,m,Serotonin / 5HT,,VNC,possibly Glutamatergic,P8.aapp,Male specific motor neuron in ventral cord
109,,CP7,m,Unknown,,VNC,possibly Glutamatergic,P9.aapp,Male specific motor neuron in ventral cord
110,,CP8,m,Unknown,,VNC,,P10.aapp,"Male specific interneuron, projects into preanal ganglion"
111,,CP9,m,GABA,,VNC,,P11.aapp,"Male specific interneuron, projects into preanal ganglion"
112,DA,DA1,,Acetylcholine (ACh),,Head - RVG,,AB prppapaap,"Ventral cord motor neurons, innervate dorsal muscles"
113,,DA2,,Acetylcholine (ACh),,VNC,,AB plppapapa,"Ventral cord motor neurons, innervate dorsal muscles"
114,,DA3,,Acetylcholine (ACh),,VNC,,AB prppapapa,"Ventral cord motor neurons, innervate dorsal muscles"
115,,DA4,,Acetylcholine (ACh),,VNC,,AB plppapapp,"Ventral cord motor neurons, innervate dorsal muscles"
116,,DA5,,Acetylcholine (ACh),,VNC,,AB prppapapp,"Ventral cord motor neurons, innervate dorsal muscles"
117,,DA6,,Acetylcholine (ACh),,VNC,,AB plpppaaap,"Ventral cord motor neurons, innervate dorsal muscles"
118,,DA7,,Acetylcholine (ACh),,VNC,,AB prpppaaap,"Ventral cord motor neurons, innervate dorsal muscles"
119,,DA8,,Acetylcholine (ACh),,Tail - PAG,,AB prpapappp,"Ventral cord motor neurons, innervate dorsal muscles"
120,,DA9,,Acetylcholine (ACh),,Tail - PAG,,AB plpppaaaa,"Ventral cord motor neurons, innervate dorsal muscles"
121,DB,DB1,,Acetylcholine (ACh),,Head - RVG,WA: also proprioceptive sensory function,AB plpaaaapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
122,,DB2,,Acetylcholine (ACh),,Head - RVG,,AB arappappa,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
123,,DB3,,Acetylcholine (ACh),,VNC,,AB prpaaaapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
124,,DB4,,Acetylcholine (ACh),,VNC,,AB prpappapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
125,,DB5,,Acetylcholine (ACh),,VNC,,AB plpapappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
126,,DB6,,Acetylcholine (ACh),,VNC,,AB plppaappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
127,,DB7,,Acetylcholine (ACh),,VNC,,AB prppaappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor"
128,DD,DD1,,GABA,,Head - RVG,,AB plppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
129,,DD2,,GABA,,VNC,,AB prppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
130,,DD3,,GABA,,VNC,,AB plppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
131,,DD4,,GABA,,VNC,,AB prppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
132,,DD5,,GABA,,VNC,,AB plppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
133,,DD6,,GABA,,Tail - PAG,,AB prppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1"
134,DVA,DVA,,Acetylcholine (ACh),,Tail - PAG,Neuron Class - Lavender - Polymodal (at least 2: sensory-motor-interneuron),AB prppppapp,"Ring interneurons, cell bodies in dorsorectal ganglion"
135,DVB,DVB,,GABA,,Tail - Dorsorectal G,,K.p,An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles
136,DVC,DVC,,Glutamate (Glu),,Tail - Dorsorectal G,,C aapaa,"Ring interneurons, cell bodies in dorsorectal ganglion"
137,DVE,DVE,m,Unknown,,Tail - DRG,,B.ppap,"Male specific interneuron, cell body in dorsorectal ganglion"
138,DVF,DVF,m,Unknown,,Tail - DRG,,B.ppppa,"Male specific interneuron, cell body in dorsorectal ganglion"
139,DX1/2,DX1,m,"ACh (unc-17, no cho-1)",,Tail - DRG,,F.lvda,"Male specific interneuron, cell body in dorsorectal ganglion"
140,DX1/2,DX2,m,"ACh (unc-17, no cho-1)",,Tail - DRG,,F.rvda,"Male specific interneuron, cell body in dorsorectal ganglion"
141,DX3/4,DX3,m,Unknown,,Tail - PAG,,U.laa,"Male specific interneuron, cell body in pre-anal ganglion"
142,DX3/4,DX4,m,Unknown,,Tail - PAG,,U.raa,"Male specific interneuron, cell body in pre-anal ganglion"
143,EF,EF1,m,GABA,,Tail - DRG,,F.lvda,"Male specific interneuron, cell body in dorsorectal ganglion"
144,,EF2,m,GABA,,Tail - DRG,,F.rvda,"Male specific interneuron, cell body in dorsorectal ganglion"
145,,EF3,m,GABA,,Tail - PAG,,U.lap,"Male specific interneuron, cell body in preanal ganglion, synaptic inputs from ray neurons"
146,,EF4,m,GABA,,Tail - PAG,,U.rap,"Male specific interneuron, cell body in preanal ganglion, synaptic inputs from ray neurons"
147,FLP,FLPL,,Glutamate (Glu),,Head,,AB plapaaapad,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
148,,FLPR,,Glutamate (Glu),,Head,,AB prapaaapad,"Neuron, ciliated ending in head, no supporting cells, associated with ILso"
149,HOA,HOA,m,Tyramine (TA),Glu,Tail - PAG,,P10.pppa,"Male specific neuron, sensory ending in male hook sensillum, cell body in pre-anal ganglion"
150,HOB,HOB,m,Acetylcholine (ACh),,Tail - PAG,,P10.ppap,"Male specific neuron, sensory ending in male hook sensillum, cell body in pre-anal ganglion"
151,HSN,HSNL,h,Acetylcholine (ACh),Serotonin / 5HT,Body wall,,AB plapppappa,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic"
152,,HSNR,h,Acetylcholine (ACh),Serotonin / 5HT,Body wall,,AB prapppappa,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic"
153,I1,I1L,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron; P16: all pharyngeal neurons may be polymodal,AB alpapppaa,"Pharyngeal interneurons: ant sensory, input from RIP"
154,,I1R,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron; WA: may be also sensory,AB arapappaa,"Pharyngeal interneurons: ant sensory, input from RIP"
155,I2,I2L,,Glutamate (Glu),,Pharynx,Pharyngeal neuron,AB alpappaapa,"Pharyngeal interneurons, ant sensory"
156,,I2R,,Glutamate (Glu),,Pharynx,Pharyngeal neuron,AB arapapaapa,"Pharyngeal interneurons, ant sensory"
157,I3,I3,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron; WA: may be also sensory,MS aaaaapaa,"Pharyngeal interneuron, ant sensory"
158,I4,I4,,Unknown,,Pharynx,Pharyngeal neuron,MS aaaapaa,Pharyngeal interneuron
159,I5,I5,,Glutamate (Glu),Serotonin / 5HT?? (weak/variable),Pharynx,Pharyngeal neuron; WA: may be also sensory,AB arapapapp,"Pharyngeal interneuron, post sensory"
160,I6,I6,,Unknown,,Pharynx,Pharyngeal neuron; WA: may be also sensory,MS paaapaa,"Pharyngeal interneuron, post sensory"
161,IL1,IL1DL,,Glutamate (Glu),,Head,WA: polymodal; P16: also clearly a motor neuron,AB alapappaaa,Inner labial neuron
162,,IL1DR,,Glutamate (Glu),,Head,,AB alappppaaa,Inner labial neuron
163,,IL1L,,Glutamate (Glu),,Head,,AB alapaappaa,Inner labial neuron
164,,IL1R,,Glutamate (Glu),,Head,,AB alaappppaa,Inner labial neuron
165,,IL1VL,,Glutamate (Glu),,Head,,AB alppapppaa,Inner labial neuron
166,,IL1VR,,Glutamate (Glu),,Head,,AB arapppppaa,Inner labial neuron
167,IL2,IL2DL,,Acetylcholine (ACh),,Head,P16: also clearly a motor neuron,AB alapappap,Inner labial neuron
168,,IL2DR,,Acetylcholine (ACh),,Head,,AB alappppap,Inner labial neuron
169,,IL2L,,Acetylcholine (ACh),,Head,,AB alapaappp,Inner labial neuron
170,,IL2R,,Acetylcholine (ACh),,Head,,AB alaappppp,Inner labial neuron
171,,IL2VL,,Acetylcholine (ACh),,Head,,AB alppapppp,Inner labial neuron
172,,IL2VR,,Acetylcholine (ACh),,Head,,AB arapppppp,Inner labial neuron
173,LUA,LUAL,,Glutamate (Glu),,Tail - Lumbar G,,AB plpppaapap,"Interneuron, short process in post ventral cord"
174,,LUAR,,Glutamate (Glu),,Tail - Lumbar G,,AB prpppaapap,"Interneuron, short process in post ventral cord"
175,M1,M1,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron,MS paapaaa,Pharyngeal motorneuron
176,M2,M2L,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron,AB araapappa,Pharyngeal motorneurons
177,,M2R,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron,AB araappppa,Pharyngeal motorneurons
178,M3,M3L,,Glutamate (Glu),,Pharynx,Pharyngeal neuron,AB araapappp,Pharyngeal sensory-motorneurons
179,,M3R,,Glutamate (Glu),,Pharynx,Pharyngeal neuron,AB araappppp,Pharyngeal sensory-motorneurons
180,M4,M4,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron,MS paaaaaa,Pharyngeal motorneuron
181,M5,M5,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron,MS paaapap,Pharyngeal motorneuron
182,MC,MCL,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron,AB alpaaappp,Pharyngeal neurons that synapse onto marginal cells
183,MCM,MCML,m,Unknown,,Head,"only recently discovered (Sammut et al., 2015)",AB arapaappp,Pharyngeal neurons that synapse onto marginal cells
184,,MCMR,m,Unknown,,Head,"only recently discovered (Sammut et al., 2015)",AmsoL,Male interneuron
185,,MCR,,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron,AmsoR,Male interneuron
186,MI,MI,,Glutamate (Glu),,Pharynx,Pharyngeal neuron,AB araappaaa,Pharyngeal motor neuron/interneuron
187,NSM,NSML,,Serotonin / 5HT, ,Pharynx,Pharyngeal neuron,AB araapapaav,"Pharyngeal neurosecretory motorneuron, contain serotonin"
188,,NSMR,,Serotonin / 5HT,,Pharynx,Pharyngeal neuron,AB araapppaav,"Pharyngeal neurosecretory motorneuron, contain serotonin"
189,OLL,OLLL,,Glutamate (Glu),,Head,,AB alppppapaa,Lateral outer labial neurons
190,,OLLR,,Glutamate (Glu),,Head,,AB praaapapaa,Lateral outer labial neurons
191,OLQ,OLQDL,,Glutamate (Glu),,Head,,AB alapapapaa,Quadrant outer labial neuron
192,,OLQDR,,Glutamate (Glu),,Head,,AB alapppapaa,Quadrant outer labial neuron
193,,OLQVL,,Glutamate (Glu),,Head,,AB plpaaappaa,Quadrant outer labial neuron
194,,OLQVR,,Glutamate (Glu),,Head,,AB prpaaappaa,Quadrant outer labial neuron
195,PCA,PCAL,m,Glutamate (Glu),,Tail - Cloacal G,,Y.plppd,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion"
196,,PCAR,m,Glutamate (Glu),,Tail - Cloacal G,,Y.prppd,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion"
197,PCB,PCBL,m,Acetylcholine (ACh),,Tail,,Y.plpa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion"
198,,PCBR,m,Acetylcholine (ACh),,Tail,,Y.prpa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion"
199,PCC,PCCL,m,Acetylcholine (ACh),,Tail,,B.arpaaa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion"
200,,PCCR,m,Acetylcholine (ACh),,Tail,,B.alpaaa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion"
201,PDA,PDA,,Acetylcholine (ACh),,Tail - PAG,,AB prpppaaaa,"Motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male"
202,PDB,PDB,,Acetylcholine (ACh),Glutamate (Glu) (adulte male-specific),Tail - PAG,*express eat-4/VGluT in adult male only; maintain ACh,P12.apa,"Motor neuron, process in dorsal cord, cell body in pre-anal ganglion"
203,PDC,PDC,m,Acetylcholine (ACh),,Tail - PAG,,P11.papa,"Male specific interneuron, pre-anal ganglion"
204,PDE,PDEL,,Dopamine (DA),,Body wall,,V5L.paaa,"Neuron, dopaminergic of postderid sensillum"
205,,PDER,,Dopamine (DA),,Body wall,,V5R.paaa,"Neuron, dopaminergic of postderid sensillum"
206,PGA,PGA,m,Acetylcholine (ACh),Serotonin / 5HT,Tail - PAG,,P11.papp,"Male specific interneuron, pre-anal ganglion"
207,PHA,PHAL,,Glutamate (Glu),,Tail - Lumbar G,,AB plpppaapp,"Phasmid neurons, chemosensory"
208,,PHAR,,Glutamate (Glu),,Tail - Lumbar G,,AB prpppaapp,"Phasmid neurons, chemosensory"
209,PHB,PHBL,,Glutamate (Glu),Serotonin / 5HT?? (weak/variable),Tail - Lumbar G,,AB plapppappp,"Phasmid neurons, chemosensory"
210,,PHBR,,Glutamate (Glu),Serotonin / 5HT?? (weak/variable),Tail - Lumbar G,,AB prapppappp,"Phasmid neurons, chemosensory"
211,PHC,PHCL,(m-s)*,Glutamate (Glu),,Tail - Lumbar G,*express eat-4/VGluT in adult male only,TL.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike"
212,,PHCR,(m-s)*,Glutamate (Glu),,Tail - Lumbar G,*express eat-4/VGluT in adult male only,TR.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike"
213,PLM,PLML,,Glutamate (Glu),,Tail - Lumbar G,,AB plapappppaa,"Posterior lateral microtubule cells, touch receptor neurons"
214,,PLMR,,Glutamate (Glu),,Tail - Lumbar G,,AB prapappppaa,"Posterior lateral microtubule cells, touch receptor neurons"
215,PLN,PLNL,,Acetylcholine (ACh),,Tail,,TL.pppap,"Interneuron, associated with PLM"
216,,PLNR,,Acetylcholine (ACh),,Tail,,TR.pppap,"Interneuron, associated with PLM"
217,PQR,PQR,(h-s)*,Glutamate (Glu),,Tail - Lumbar G,*adult male loses expression of eat-4/VGluT,QL.ap,"Neuron, basal body, not part of a sensillum, projects into preanal ganglion"
218,PVC,PVCL,,Acetylcholine (ACh),,Tail,,AB plpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta"
